DEB [20230825-19:52:57.732] thr=1   paramiko.transport: starting thread (client mode): 0xcc434070
DEB [20230825-19:52:57.734] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.3.1
DEB [20230825-19:52:57.753] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-Cisco-1.25
INF [20230825-19:52:57.753] thr=1   paramiko.transport: Connected (version 2.0, client Cisco-1.25)
DEB [20230825-19:52:57.786] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230825-19:52:57.786] thr=1   paramiko.transport: kex algos: diffie-hellman-group-exchange-sha1, diffie-hellman-group14-sha1, diffie-hellman-group1-sha1
DEB [20230825-19:52:57.786] thr=1   paramiko.transport: server key: ssh-rsa
DEB [20230825-19:52:57.786] thr=1   paramiko.transport: client encrypt: aes128-ctr, aes192-ctr, aes256-ctr, aes128-cbc, 3des-cbc, aes192-cbc, aes256-cbc
DEB [20230825-19:52:57.786] thr=1   paramiko.transport: server encrypt: aes128-ctr, aes192-ctr, aes256-ctr, aes128-cbc, 3des-cbc, aes192-cbc, aes256-cbc
DEB [20230825-19:52:57.786] thr=1   paramiko.transport: client mac: hmac-sha1, hmac-sha1-96
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: server mac: hmac-sha1, hmac-sha1-96
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: client compress: none
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: server compress: none
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: client lang: <none>
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: server lang: <none>
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: kex follows: False
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230825-19:52:57.787] thr=1   paramiko.transport: Kex: diffie-hellman-group-exchange-sha1
DEB [20230825-19:52:57.788] thr=1   paramiko.transport: HostKey: ssh-rsa
DEB [20230825-19:52:57.788] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230825-19:52:57.788] thr=1   paramiko.transport: MAC: hmac-sha1
DEB [20230825-19:52:57.788] thr=1   paramiko.transport: Compression: none
DEB [20230825-19:52:57.788] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230825-19:52:57.807] thr=1   paramiko.transport: Got server p (2048 bits)
DEB [20230825-19:52:57.968] thr=1   paramiko.transport: kex engine KexGex specified hash_algo <built-in function openssl_sha1>
DEB [20230825-19:52:57.968] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230825-19:52:57.969] thr=2   paramiko.transport: Adding ssh-rsa host key for 192.168.188.131: b'bbd9b954d7361434d1e00508bc7e3147'
DEB [20230825-19:52:57.970] thr=2   paramiko.transport: Trying SSH key b'3189692499d267bf10a09c3778ba77e8'
DEB [20230825-19:52:58.201] thr=1   paramiko.transport: userauth is OK
DEB [20230825-19:52:58.201] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20230825-19:52:58.202] thr=1   paramiko.transport: Our pubkey algorithm list: ['ssh-rsa']
DEB [20230825-19:52:58.202] thr=1   paramiko.transport: Server did not send a server-sig-algs list; defaulting to our first preferred algo ('ssh-rsa')
DEB [20230825-19:52:58.202] thr=1   paramiko.transport: NOTE: you may use the 'disabled_algorithms' SSHClient/Transport init kwarg to disable that or other algorithms if your server does not support them!
INF [20230825-19:52:58.213] thr=1   paramiko.transport: Auth banner: b"\r\n**************************************************************************\r\n* IOSv is strictly limited to use for evaluation, demonstration and IOS  *\r\n* education. IOSv is provided as-is and is not supported by Cisco's      *\r\n* Technical Advisory Center. Any use or disclosure, in whole or in part, *\r\n* of the IOSv Software or Documentation to any third party for any       *\r\n* purposes is expressly prohibited except as otherwise authorized by     *\r\n* Cisco in writing.                                                      *\r\n**************************************************************************"
INF [20230825-19:52:58.253] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20230825-19:52:58.253] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230825-19:52:58.266] thr=1   paramiko.transport: [chan 0] Max packet out: 4096 bytes
DEB [20230825-19:52:58.266] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230825-19:52:58.278] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230825-19:53:01.831] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230825-19:53:01.832] thr=2   paramiko.transport: [chan 0] EOF sent (0)
